Year,Food grains,Paddy,Maize,Wheat,Millet (Kodo),Barley,Buckwheat,Cash Crops,Sugarcane,Oilseeds,Tobacco,Jute,Potato,Other Crops,Pulses,Fruits,Vegetables,Tea,Coffee,Cotton,Honey,Cocoon,Mushroom,Spice Crops,Cardamom,Turmeric,Ginger,Chilies,Garlic,Date
1998/99,6465.0,3710.0,1346.0,1086.0,291.0,32.0,Buckwheat,3202.0,1972.0,120.0,4.0,15.0,1091.0,2029.0,229.0,456.0,1343.0,4.0,0.05,0.68,0.139,0.02,Mushroom,108.16,4.33,8.43,81.8,4.82,8.78,1998-01-01
1999/00,6985.0,4030.0,1445.0,1184.0,295.0,31.0,Buckwheat,3428.0,2103.0,123.0,4.0,15.0,1183.0,2175.0,237.0,447.0,1490.0,5.0,0.07,0.74,0.15,0.03,Mushroom,110.45,6.53,10.59,74.99,6.36,11.97,1999-01-01
2000/01,7172.0,4216.0,1484.0,1158.0,283.0,30.0,Buckwheat,3678.0,2212.0,132.0,4.0,16.0,1314.0,2383.0,243.0,487.0,1653.0,6.0,0.09,0.46,0.16,0.03,Mushroom,124.27,6.08,13.06,84.37,6.53,14.23,2000-01-01
2001/02,7248.0,4165.0,1511.0,1258.0,283.0,31.0,Buckwheat,3876.0,2248.0,135.0,4.0,16.0,1473.0,2463.0,250.0,474.0,1738.0,7.0,0.14,0.15,0.53,0.03,Mushroom,132.38,6.18,15.17,87.91,7.08,16.03,2001-01-01
2002/03,7361.0,4133.0,1569.0,1344.0,283.0,32.0,Buckwheat,4020.0,2343.0,125.0,3.0,17.0,1531.0,2585.0,257.0,519.0,1800.0,8.0,0.19,0.06,0.53,0.03,Mushroom,201.06,5.68,21.59,140.06,10.87,22.67,2002-01-01
2003/04,7745.0,4456.0,1590.0,1387.0,283.0,28.0,Buckwheat,4102.0,2305.0,133.0,3.0,17.0,1643.0,2679.0,265.0,511.0,1890.0,12.0,0.22,0.01,0.58,0.03,Mushroom,219.86,5.98,23.03,150.59,11.97,28.28,2003-01-01
2004/05,7767.0,4290.0,1716.0,1442.0,290.0,29.0,Buckwheat,4276.0,2376.0,142.0,3.0,16.0,1739.0,2903.0,271.0,553.0,2065.0,13.0,0.25,0.01,0.6,0.03,Mushroom,223.26,6.07,23.23,152.7,12.62,28.61,2004-01-01
2005/06,7656.0,4209.0,1734.0,1394.0,291.0,28.0,Buckwheat,4597.0,2463.0,139.0,3.0,17.0,1975.0,2992.0,267.0,535.0,2190.0,13.0,0.3,0.06,0.65,0.03,Mushroom,226.91,6.65,23.57,154.2,13.78,28.72,2005-01-01
2006/07,7329.0,3681.0,1820.0,1515.0,285.0,28.0,Buckwheat,4698.0,2600.0,136.0,3.0,17.0,1943.0,3164.0,274.0,575.0,2299.0,15.0,0.46,0.05,0.65,0.03,Mushroom,238.64,6.79,25.4,160.58,15.57,30.31,2006-01-01
2007/08,8069.0,4299.0,1879.0,1572.0,291.0,28.0,Buckwheat,4694.0,2485.0,134.0,3.0,17.0,2055.0,3457.0,270.0,631.0,2539.0,16.0,0.28,0.07,1.0,0.03,Mushroom,243.1,7.1,25.0,161.0,19.0,31.0,2007-01-01
2008/09,8115.0,4524.0,1931.0,1344.0,293.0,23.0,Buckwheat,4933.0,2354.0,135.0,2.0,18.0,2424.0,3713.0,255.0,686.0,2754.0,16.0,0.27,0.06,0.85,0.02,1.0,276.0,7.0,32.0,179.0,24.0,34.0,2008-01-01
2009/10,7763.0,4023.0,1855.0,1557.0,300.0,28.0,Buckwheat,5183.0,2495.0,155.0,2.0,13.0,2518.0,3993.0,262.0,707.0,3004.0,17.0,0.31,0.11,1.0,0.03,1.1,321.23,5.23,38.0,211.0,28.0,39.0,2009-01-01
2010/11,8615.0,4460.0,2067.0,1746.0,303.0,30.0,9.0,5719.0,2932.0,175.0,2.0,13.0,2597.0,4336.0,318.0,794.0,3204.0,17.0,0.4,0.11,1.2,0.03,1.3,357.21,5.21,41.0,240.0,27.0,44.0,2010-01-01
2011/12,12293.0,5072.0,2179.0,1846.0,3151.0,35.0,10.0,5710.0,2930.0,179.0,3.0,14.0,2584.0,4672.0,320.0,1030.0,3299.0,19.0,0.4,0.13,1.5,0.03,1.5,364.3,6.0,35.3,255.0,27.0,41.0,2011-01-01
2012/13,11330.0,4505.0,1999.0,1727.0,3055.0,34.0,10.0,5817.0,2930.0,179.0,2.0,16.0,2690.0,4623.0,357.0,939.0,3302.0,21.0,0.4,0.15,1.6,0.04,1.7,345.1,5.8,35.7,235.0,27.9,40.7,2012-01-01
