Species,Estimated Number of described species,Number of species evaluated by  2013,threatened species_1998,threatened species_2000,threatened species_2002,threatened species_2003,threatened species_2004,threatened species_2006,threatened species_Y2007,threatened species_Y2008,threatened species_Y2009,threatened species_Y2010,threatened species_Y2011,threatened species_Y2012,threatened species_Y2013,threatened species_Y2014,threatened species_Y2015,threatened species_Y2016,threatened species_Y2017,Species evaluted in 2017_as % of  species described
Mammals,5506.0,5506.0,1096.0,1130.0,1137.0,1130.0,1101.0,1093.0,1094.0,1141.0,1142.0,1131.0,1138.0,1139.0,1143.0,1199.0,1197.0,1194.0,1204.0,1.0
Birds,10065.0,10065.0,1107.0,1183.0,1192.0,1194.0,1213.0,1206.0,1217.0,1222.0,1223.0,1240.0,1253.0,1313.0,1308.0,1373.0,1375.0,1460.0,1469.0,1.0
Reptiles,9831.0,4204.0,253.0,296.0,293.0,293.0,304.0,341.0,422.0,423.0,469.0,594.0,772.0,807.0,879.0,927.0,944.0,1079.0,1215.0,1.0
Amphibians,7044.0,6409.0,124.0,146.0,157.0,157.0,1770.0,1811.0,1808.0,1905.0,1895.0,1898.0,1917.0,1933.0,1950.0,1957.0,1994.0,2068.0,2100.0,1.0
Fishes,32700.0,11172.0,734.0,752.0,742.0,750.0,800.0,1171.0,1201.0,1275.0,1414.0,1851.0,2028.0,2058.0,2110.0,2222.0,2271.0,2359.0,2386.0,0.0
Insects,1000000.0,4610.0,537.0,555.0,557.0,553.0,559.0,623.0,623.0,626.0,711.0,733.0,741.0,829.0,896.0,993.0,1046.0,1268.0,1414.0,0.0
Molluscs,85000.0,6809.0,920.0,938.0,939.0,967.0,974.0,975.0,978.0,978.0,1036.0,1288.0,1673.0,1857.0,1898.0,1950.0,1950.0,1984.0,2187.0,0.0
Crustaceans,47000.0,3163.0,407.0,408.0,409.0,409.0,429.0,459.0,460.0,606.0,606.0,596.0,596.0,596.0,723.0,1950.0,1950.0,732.0,732.0,0.0
Corals,2175.0,856.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,235.0,235.0,235.0,235.0,236.0,235.0,235.0,237.0,237.0,237.0,0.0
Arachnids,102248.0,35.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.0,18.0,19.0,19.0,20.0,21.0,163.0,164.0,166.0,170.0,0.0
Velvet Worms,165.0,11.0,6.0,6.0,6.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.0
Horseshoe Crabs,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Mosses,16236.0,102.0,102.0,80.0,80.0,80.0,80.0,80.0,80.0,82.0,82.0,80.0,80.0,76.0,76.0,76.0,76.0,76.0,76.0,0.0
Ferns and Allies,12000.0,342.0,342.0,342.0,342.0,111.0,140.0,139.0,139.0,139.0,139.0,148.0,163.0,167.0,187.0,194.0,197.0,217.0,246.0,0.0
Gymnosperms,1052.0,1010.0,142.0,141.0,142.0,304.0,305.0,306.0,321.0,323.0,322.0,371.0,377.0,374.0,399.0,400.0,400.0,400.0,401.0,1.0
Flowiering Plants,268000.0,16766.0,5186.0,5390.0,5492.0,6279.0,7796.0,7865.0,7899.0,7904.0,7948.0,8116.0,8527.0,8764.0,9394.0,9905.0,10551.0,10941.0,11773.0,0.0
Green Algae,4242.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Red Algae,6144.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.0
Lichens,17000.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,7.0,7.0,10.0,0.0
Mushrooms,31496.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.0,21.0,33.0,0.0
Brown Algae,3127.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0
